Title, Image, Link, Price, Reviews, Stars
"Universal 3.5mm Jack Acoustic Hollow Air Tube Anti-Radiation Earphone Xfox Earpiece with on Off Answer Switch Compatible with iPhone Samsung LG Moto Lenovo ZTE Huawie BlackBerry and All Cellphones  ","https://m.media-amazon.com/images/I/61sAjsJ1UOL._AC_UL320_.jpg","https://amazon.com.au/Universal-Anti-Radiation-Compatible-BlackBerry-Cellphones/dp/B0176655IC/ref=sr_1_30?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641479789&sprefix=%2Caps%2C708&sr=8-30","$19.61","93","3.6 out of 5 stars"
"iMove SH01 Sport Earphones with Bluetooth - Blue  ","https://m.media-amazon.com/images/I/51xGJLuYxjL._AC_UL320_.jpg","https://amazon.com.au/iMove-SH01-Sport-Earphones-Bluetooth/dp/B01MRXQXMN/ref=sr_1_31?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641479789&sprefix=%2Caps%2C708&sr=8-31","$21.16","This item has not yet been released."
"adidas Sport FWD-01 Bluetooth Earphone - Signal Coral  ","https://m.media-amazon.com/images/I/71VZXS3nFAL._AC_UL320_.jpg","https://amazon.com.au/adidas-Sport-FWD-01-Bluetooth-Earphone/dp/B08C8HFLK3/ref=sr_1_32?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641479789&sprefix=%2Caps%2C708&sr=8-32","$182.02","607","4.3 out of 5 stars"
"4pk Ear Bud Headphones with Mic Remote Control (G06), Wholesale 3.5mm Wired Earphones Headsets Bulk Accessory for Android iOS Smartphone, Cell Phone, MP3, Media Player, Laptop, PC, Chromebook, Gaming  ","https://m.media-amazon.com/images/I/71r8IQlzPzL._AC_UL320_.jpg","https://amazon.com.au/Headphones-Wholesale-Earphones-Smartphone-Chromebook/dp/B07B7BN3TH/ref=sr_1_33?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641479789&sprefix=%2Caps%2C708&sr=8-33","$23.51","593","3.9 out of 5 stars"
"Sony WISP510 In-Ear Sports Bluetooth Headphone, Black  ","https://m.media-amazon.com/images/I/61Hnk1fNSfL._AC_UL320_.jpg","https://amazon.com.au/Sony-Neckband-Bluetooth-Headphone-WI-SP510B/dp/B087DFS396/ref=sr_1_34?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641479789&sprefix=%2Caps%2C708&sr=8-34","$165.02$179.95","5","3.9 out of 5 stars"
"Panasonic Comfortable Fit In-Ear Wired Headphones, Black (RP-TCM130E)  ","https://m.media-amazon.com/images/I/61Z8ovzhijL._AC_UL320_.jpg","https://amazon.com.au/Panasonic-RP-TCM130-K-Canal-Headphones-RPTCM130/dp/B07NN73GSR/ref=sr_1_35?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641479789&sprefix=%2Caps%2C708&sr=8-35","$27.95","67","4.2 out of 5 stars"
"Shure SE215-K Sound Isolating Earphones with Single Dynamic MicroDriver  ","https://m.media-amazon.com/images/I/71sOwRhfCfL._AC_UL320_.jpg","https://amazon.com.au/Shure-SE215-K-Isolating-Earphones-MicroDriver/dp/B004PNZFZ8/ref=sr_1_36?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641479789&sprefix=%2Caps%2C708&sr=8-36","$153.48","3,215","4.4 out of 5 stars"
"Linsoul KZ ZSN Pro Dual Driver 1BA+1DD Hybrid Metal Earphones HiFi in-Ear Monitor with Detachable 2Pin Cable, Zin Alloy Panel (Without Mic, Black)  ","https://m.media-amazon.com/images/I/51Mi9n--PoL._AC_UL320_.jpg","https://amazon.com.au/Linsoul-KZ-ZSN-Pro-Detachable/dp/B07Q1BTKZT/ref=sr_1_37?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641479789&sprefix=%2Caps%2C708&sr=8-37","$43.63","827","4.5 out of 5 stars"
"Wireless Headphones, HiFi Stereo 5.0 Bluetooth Headphones in Ear IPX5 Waterproof Wireless Earphones with Mic, Bluetooth Earphones with Fast Charging Case.  ","https://m.media-amazon.com/images/I/61HCvZjYacS._AC_UL320_.jpg","https://amazon.com.au/Wireless-Headphones-Bluetooth-Waterproof-Earphones/dp/B09838Y1PW/ref=sr_1_38?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641479789&sprefix=%2Caps%2C708&sr=8-38","$126.85"
"Linsoul KZ ZSN Pro Dual Driver 1BA+1DD Hybrid Metal Earphones HiFi in-Ear Monitor with Detachable 2Pin Cable, Zin Alloy Panel (with Mic, Blue)  ","https://m.media-amazon.com/images/I/61tQUHs+VUL._AC_UL320_.jpg","https://amazon.com.au/Linsoul-KZ-ZSN-Pro-Detachable/dp/B07PY36DJV/ref=sr_1_39?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641479789&sprefix=%2Caps%2C708&sr=8-39","$47.04","827","4.5 out of 5 stars"
"SoundPEATS Air3 Wireless Earbuds Mini Bluetooth V5.2 Earphones with Qualcomm QCC3040 and aptX-Adaptive, 4-Mic and CVC 8.0 Noise Cancellation, TrueWireless Mirroring Tech, in-Ear Detection, Game Mode (White)  ","https://m.media-amazon.com/images/I/51V-iEV77ZL._AC_UL320_.jpg","https://amazon.com.au/SoundPEATS-Bluetooth-aptX-Adaptive-Cancellation-TrueWireless/dp/B09LM476H2/ref=sr_1_40?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641479789&sprefix=%2Caps%2C708&sr=8-40","$59.99","671","4.4 out of 5 stars"
"KBEAR KS2 in Ear Earphone,H HIFIHEAR IEM 1BA 1DD Stereo in Ear Headphones, HiFi Over Ear Earbud Headset Noise Cancelling Hybrid Earphone with Removable Cable for Running Walking (No mic, KS2 Black)  ","https://m.media-amazon.com/images/I/511UNZ7TYoL._AC_UL320_.jpg","https://amazon.com.au/Earphone-HIFIHEAR-Headphones-Cancelling-Removable/dp/B08CKGCQ2Q/ref=sr_1_41?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641479789&sprefix=%2Caps%2C708&sr=8-41","$43.83","59","4.2 out of 5 stars"
"Master & Dynamic MW07 True Wireless in-Ear Earphones, with Stainless Steel Charging Case, Grey Terrazo  ","https://m.media-amazon.com/images/I/71Rtpko8xBL._AC_UL320_.jpg","https://amazon.com.au/Master-Dynamic-Wireless-Earphones-Stainless/dp/B07H8RZN47/ref=sr_1_42?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641479789&sprefix=%2Caps%2C708&sr=8-42","$271.47","702","3.6 out of 5 stars"
"Shure SE535 Professional Sound Isolating Earphones with Triple High Definition MicroDrivers, Special Edition Red  ","https://m.media-amazon.com/images/I/71amovOAxJL._AC_UL320_.jpg","https://amazon.com.au/Professional-Isolating-Earphones-Definition-MicroDrivers/dp/B07F2XVS27/ref=sr_1_43?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641479789&sprefix=%2Caps%2C708&sr=8-43","$680.85","17","4.4 out of 5 stars"
"Sennheiser In Ear Wireless Headphones CX 150, Black  ","https://m.media-amazon.com/images/I/51Ufm+gAT9S._AC_UL320_.jpg","https://amazon.com.au/Sennheiser-CX-150BT-Black-Earphones/dp/B0829LLCSD/ref=sr_1_44?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641479789&sprefix=%2Caps%2C708&sr=8-44","$66.99$109.00","714","3.9 out of 5 stars"
"Samsung Galaxy Buds Pro, Phantom Black  ","https://m.media-amazon.com/images/I/616jAThC9nL._AC_UL320_.jpg","https://amazon.com.au/Samsung-Galaxy-Buds-Phantom-Black/dp/B08RQ111DM/ref=sr_1_45?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641479789&sprefix=%2Caps%2C708&sr=8-45","$198.50$349.00","168","4.2 out of 5 stars"
"BASN Bmaster in Ear Monitor Headphones with Silver-Plated Copper Wire, Universal Fit Earphones for Singer Guitar Drummer Bass Keyboard Engineer DJ Audiophile  ","https://m.media-amazon.com/images/I/51usFAstAsL._AC_UL320_.jpg","https://amazon.com.au/BASN-Headphones-Silver-Plated-Universal-Audiophile/dp/B07VN4ZP1W/ref=sr_1_46?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641479789&sprefix=%2Caps%2C708&sr=8-46","$140.84","89","4.4 out of 5 stars"
"Sony MDR-EX15AP Earphones with Smartphone Mic and Control - Blue  ","https://m.media-amazon.com/images/I/51qk1E6gLxL._AC_UL320_.jpg","https://amazon.com.au/Sony-MDR-EX15AP-Earphones-Smartphone-Control/dp/B00I3LV2U0/ref=sr_1_47?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641479789&sprefix=%2Caps%2C708&sr=8-47","","834","4.3 out of 5 stars"
"USB C Headphones for Galaxy S21 Ultra, APETOO Type C Earphones Wired in Ear Headphones with Mic Stereo Earbuds for Samsung S20 FE S20 S21 Plus Note 20 Ultra Note 10+ Pixel 5 4 3 2 XL OnePlus 8T  ","https://m.media-amazon.com/images/I/61+DJW3PuEL._AC_UL320_.jpg","https://amazon.com.au/Headphones-APETOO-Earphones-Earbuds-Samsung/dp/B08RJ3LZY3/ref=sr_1_48?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641479789&sprefix=%2Caps%2C708&sr=8-48","$29.39"
