Title, Image, Link, Price, Reviews, Stars
"Samsung EO-EG920BB Earphones Black  ","https://m.media-amazon.com/images/I/51pmgyRXvQL._AC_UL320_.jpg","https://amazon.com.au/Samsung-EO-EG920BB-Earphones-Black/dp/B06XK8GNR3/ref=sr_1_11?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641481234&sprefix=%2Caps%2C708&sr=8-11","$,1,0,.,9,9","841","3.8 out of 5 stars"
"New Beats Studio Buds – True Wireless Noise Cancelling Earbuds – Compatible with Apple & Android, Built-in Microphone, IPX4 Rating, Sweat Resistant Earphones, Class 1 Bluetooth Headphones - Beats Red  ","https://m.media-amazon.com/images/I/51utxdpV8cS._AC_UL320_.jpg","https://amazon.com.au/Beats-Studio-Cancelling-Earbuds-Built-Bluetooth-Headphones/dp/B09B9P9KCD/ref=sr_1_12?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641481234&sprefix=%2Caps%2C708&sr=8-12","$,1,7,5,.,0,0,$,1,9,9,.,9,5","26","4.0 out of 5 stars"
"Bose QuietComfort Noise Cancelling Earbuds - True Wireless Bluetooth Earphones, Soapstone  ","https://m.media-amazon.com/images/I/51Fa9W9caDS._AC_UL320_.jpg","https://amazon.com.au/Bose-831262-0020-QuietComfort-Earbuds-Soapstone/dp/B08CJP6V6W/ref=sr_1_13?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641481234&sprefix=%2Caps%2C708&sr=8-13","$,2,9,6,.,0,0,$,3,9,9,.,9,5","2,079","4.2 out of 5 stars"
"Sony WISP510 In-Ear Sports Bluetooth Headphone, Black  ","https://m.media-amazon.com/images/I/61Hnk1fNSfL._AC_UL320_.jpg","https://amazon.com.au/Sony-Neckband-Bluetooth-Headphone-WI-SP510B/dp/B087DFS396/ref=sr_1_14?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641481234&sprefix=%2Caps%2C708&sr=8-14","$,1,6,5,.,0,2,$,1,7,9,.,9,5","5","3.9 out of 5 stars"
"Huawei AM115 Earphones  ","https://m.media-amazon.com/images/I/31aSGQavQYL._AC_UL320_.jpg","https://amazon.com.au/Huawei-AM115-BI-BULK-AM115-Earphones/dp/B01930MSOS/ref=sr_1_15?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641481234&sprefix=%2Caps%2C708&sr=8-15","$,9,.,9,9","442","4.0 out of 5 stars"
"Sennheiser MOMENTUM True Wireless 2 Noise Cancelling Headphones, Black  ","https://m.media-amazon.com/images/I/71512ak6TsL._AC_UL320_.jpg","https://amazon.com.au/Sennheiser-MOMENTUM-Wireless-Cancelling-Headphones/dp/B084ZLF1TH/ref=sr_1_16?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641481234&sprefix=%2Caps%2C708&sr=8-16","$,3,7,7,.,0,0,$,4,9,9,.,0,0","2,877","4.2 out of 5 stars"
"SoundPEATS True Wireless Bluetooth Earbuds in-Ear Stereo Bluetooth Headphones Wireless Earphones (Bluetooth 5.0, Built-in Mic, Stereo Calls, Total 35 Hours Playtime)  ","https://m.media-amazon.com/images/I/61JH5bAlkHL._AC_UL320_.jpg","https://amazon.com.au/SoundPEATS-Wireless-Bluetooth-Headphones-Earphones/dp/B07N77M5XV/ref=sr_1_17?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641481234&sprefix=%2Caps%2C708&sr=8-17","$,3,9,.,9,9,$,4,9,.,9,9","2,598","4.4 out of 5 stars"
"Apple AirPods (2nd Gen) with Charging Case  ","https://m.media-amazon.com/images/I/7120GgUKj3L._AC_UL320_.jpg","https://amazon.com.au/Apple-Airpods-Gen-Charging-Case/dp/B07NWBVQWK/ref=sr_1_18?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641481234&sprefix=%2Caps%2C708&sr=8-18","$,1,7,9,.,0,0,$,2,1,9,.,0,0","319","4.5 out of 5 stars"
"Powerbeats Pro - Totally Wireless Earphones – Apple H1 Headphone chip, Class 1 Bluetooth®, 9 Hours of Listening time, Sweat-Resistant Earbuds – Black  ","https://m.media-amazon.com/images/I/51bATskzymL._AC_UL320_.jpg","https://amazon.com.au/Powerbeats-Pro-Earphones-Bluetooth%C2%AE-Sweat-Resistant/dp/B08ZT3F76D/ref=sr_1_19?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641481234&sprefix=%2Caps%2C708&sr=8-19","$,3,2,9,.,0,0,$,3,4,9,.,9,5","9","3.7 out of 5 stars"
"Sony In-Ear Lightweight Headphones, Black  ","https://m.media-amazon.com/images/I/51ODqjkqC-L._AC_UL320_.jpg","https://amazon.com.au/Sony-MDR-EX15LPBZE-in-Ear-Headphones-Black/dp/B075BKWJN6/ref=sr_1_20?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641481234&sprefix=%2Caps%2C708&sr=8-20","$,1,4,.,0,0,$,2,4,.,9,5","3,701","4.3 out of 5 stars"
